,MSOA21CD_origin,MSOA21CD_dest,dist,same_LA
125,E02000985,E02000987,9262.284251900974,True
126,E02000985,E02001025,9342.924089910655,False
127,E02000985,E02001031,9419.104932618518,False
128,E02000985,E02001159,9476.49924345025,False
129,E02000985,E02001037,9742.745846718992,False
130,E02000985,E02001160,9804.311181906132,False
131,E02000985,E02001038,10565.512953038837,False
132,E02000985,E02001161,10632.117529114315,False
133,E02000985,E02001163,10640.844792374666,False
134,E02000985,E02001303,10703.468092555557,False
135,E02000985,E02001150,10721.009159223026,False
136,E02000985,E02001014,10753.506314227649,True
137,E02000985,E02001311,10797.379001981895,False
138,E02000985,E02001035,10979.34239962977,False
139,E02000985,E02001162,11073.030591533465,False
140,E02000985,E02001039,11213.256690295875,False
141,E02000985,E02001308,11289.9357512993,False
142,E02000985,E02001165,11607.210012829306,False
143,E02000985,E02001018,11933.714589319155,True
144,E02000985,E02000992,12011.00107056391,True
145,E02000985,E02001137,12081.825467473142,False
146,E02000985,E02001043,12171.581037110653,False
147,E02000985,E02001314,12277.601036938644,False
148,E02000985,E02001309,12319.242306529026,False
149,E02000985,E02001040,12357.59479979138,False
150,E02000985,E02001149,12484.15903656656,False
151,E02000985,E02001041,12704.994788332791,False
152,E02000985,E02001042,12723.124901075513,False
153,E02000985,E02001164,12830.113011319763,False
154,E02000985,E02001170,12896.605657623571,False
155,E02000985,E02001168,12900.241058192898,False
156,E02000985,E02001293,13167.248196775288,False
157,E02000985,E02001169,13221.729063947929,False
158,E02000985,E02001151,13226.742496712017,False
159,E02000985,E02001305,13287.634133058697,False
160,E02000985,E02001317,13595.417146575046,False
161,E02000985,E02001171,13617.879540226486,False
162,E02000985,E02001138,13628.049253029374,False
163,E02000985,E02001153,13681.1243532864,False
164,E02000986,E02000986,0.0,True
165,E02000986,E02000988,1191.6601724423124,True
166,E02000986,E02000985,1274.0608124565902,True
167,E02000986,E02000984,1843.0893625507329,True
168,E02000986,E02000993,2041.195314317498,True
169,E02000986,E02000994,2178.9982760406033,True
170,E02000986,E02000989,2780.497046324191,True
171,E02000986,E02000999,3336.2189405812974,True
172,E02000986,E02000998,3448.640325890657,True
173,E02000986,E02000991,3448.9970457429695,True
174,E02000986,E02001000,3554.336740727188,True
175,E02000986,E02000996,3571.924255891238,True
176,E02000986,E02000995,4273.950023054974,True
177,E02000986,E02001001,4409.345010885467,True
178,E02000986,E02001004,4508.158038967578,True
179,E02000986,E02001005,4805.768002216042,True
180,E02000986,E02001002,4920.314288458486,True
181,E02000986,E02001006,5450.473453935136,True
182,E02000986,E02001003,5478.143113216009,True
183,E02000986,E02001030,5501.278575703019,False
184,E02000986,E02001008,5647.966271383478,True
185,E02000986,E02001021,5834.787519807894,False
186,E02000986,E02001028,6227.335966625508,False
187,E02000986,E02001010,6276.724138131099,True
188,E02000986,E02001012,6338.380620620755,True
189,E02000986,E02001024,6362.512108337322,False
190,E02000986,E02001020,6509.88441415908,False
191,E02000986,E02001007,6630.494849724035,True
192,E02000986,E02000990,6796.400016469503,True
193,E02000986,E02001009,7360.687338330971,True
194,E02000986,E02001015,7384.511641838138,True
195,E02000986,E02001016,7400.331265227504,True
196,E02000986,E02000997,7436.884730061483,True
197,E02000986,E02001019,7494.368221589167,False
198,E02000986,E02001032,7519.723442379384,False
199,E02000986,E02001023,7659.142390339545,False
200,E02000986,E02001027,7708.093740249277,False
201,E02000986,E02001013,7790.890584713932,True
202,E02000986,E02000987,7994.766193056531,True
203,E02000986,E02001011,8099.589741487786,True
204,E02000986,E02001034,8237.145884845258,False
205,E02000986,E02001157,8456.215840419074,False
206,E02000986,E02001036,8636.117164008014,False
207,E02000986,E02001017,8804.654939969416,True
208,E02000986,E02001022,8831.897732312385,False
209,E02000986,E02001029,8903.623930923504,False
210,E02000986,E02001033,8964.662338800983,False
211,E02000986,E02001158,9019.045738276904,False
212,E02000986,E02001026,9361.209013198111,False
213,E02000986,E02001160,9421.301427997323,False
214,E02000986,E02001159,9479.814623146238,False
215,E02000986,E02001014,9600.871291796864,True
216,E02000986,E02001303,9828.173823032395,False
217,E02000986,E02001311,10209.356378034943,False
218,E02000986,E02001037,10355.8514988871,False
219,E02000986,E02001031,10435.690087280307,False
220,E02000986,E02001025,10551.88554461483,False
221,E02000986,E02001308,10557.06255765355,False
222,E02000986,E02001163,10567.152971766242,False
223,E02000986,E02000992,10737.93296972416,True
224,E02000986,E02001018,10878.192488200892,True
225,E02000986,E02001161,10989.463233296225,False
226,E02000986,E02001038,11307.166537291903,False
227,E02000986,E02001162,11343.410052466334,False
228,E02000986,E02001309,11468.95523214122,False
229,E02000986,E02001314,11702.5947356365,False
230,E02000986,E02001165,11788.68854860486,False
231,E02000986,E02001150,11865.243299847538,False
232,E02000986,E02001293,11938.291356203306,False
233,E02000986,E02001035,11938.317168901618,False
234,E02000986,E02001039,12035.627050107212,False
235,E02000986,E02001305,12249.370271297044,False
236,E02000986,E02001302,12723.084605358352,False
237,E02000986,E02001043,12739.9835275825,False
238,E02000986,E02001313,12848.272566562697,False
239,E02000986,E02001290,12867.606792324048,False
240,E02000986,E02001317,12871.9099289616,False
241,E02000986,E02001170,12901.326426524762,False
242,E02000986,E02001169,12967.747489725867,False
243,E02000986,E02001299,13119.263228516362,False
244,E02000986,E02001168,13172.624151254664,False
245,E02000986,E02001040,13212.383785012296,False
246,E02000986,E02001164,13281.181967269777,False
247,E02000986,E02001137,13355.804362672356,False
248,E02000986,E02001042,13381.010658806928,False
249,E02000986,E02001041,13428.248489709762,False
250,E02000987,E02000987,0.0,True
251,E02000987,E02000990,1249.5202041924483,True
252,E02000987,E02000992,2813.3294495171845,True
253,E02000987,E02000997,3070.3043323553215,True
254,E02000987,E02000995,4288.19372611957,True
255,E02000987,E02000991,4560.62771843236,True
256,E02000987,E02001290,5086.920631727593,False
257,E02000987,E02001014,5235.759739055082,True
258,E02000987,E02001003,5376.081408483642,True
259,E02000987,E02001293,5465.187611371027,False
260,E02000987,E02001011,6070.141306500558,True
261,E02000987,E02001001,6312.259514130411,True
262,E02000987,E02000998,6686.2810847788405,True
263,E02000987,E02001292,7184.425680191773,False
264,E02000987,E02000994,7196.354338925013,True
265,E02000987,E02000984,7245.452634380164,True
266,E02000987,E02001018,7300.141864051476,True
267,E02000987,E02001013,7431.4339276854225,True
268,E02000987,E02000988,7441.715046983502,True
269,E02000987,E02001288,7549.101050685746,False
270,E02000987,E02001004,7584.124434247014,True
271,E02000987,E02001299,7626.498807302335,False
272,E02000987,E02001295,7668.022573462589,False
273,E02000987,E02001006,7918.097454604374,True
274,E02000987,E02001302,7986.674883675347,False
275,E02000987,E02000986,7994.766193056531,True
276,E02000987,E02000999,8115.262306815798,True
277,E02000987,E02001298,8282.461509347104,False
278,E02000987,E02001291,8299.33009961341,False
279,E02000987,E02001294,8320.446008950245,False
280,E02000987,E02001303,8456.035330100109,False
281,E02000987,E02001305,8460.264204310562,False
282,E02000987,E02001287,8496.911478862585,False
283,E02000987,E02001008,8656.287451421464,True
284,E02000987,E02001009,8698.226947037421,True
285,E02000987,E02000993,8908.58398959956,True
286,E02000987,E02000985,9262.284251900974,True
287,E02000987,E02001005,9315.417397500967,True
288,E02000987,E02001000,9567.744453343574,True
289,E02000987,E02001301,9677.473776800876,False
290,E02000987,E02001309,9737.41013780348,False
291,E02000987,E02001012,9862.452387992142,True
292,E02000987,E02001296,9925.492937088678,False
293,E02000987,E02001308,10057.783771833736,False
294,E02000987,E02001310,10117.992539653806,False
295,E02000987,E02001313,10155.919952655977,False
296,E02000987,E02001289,10162.819413932675,False
297,E02000987,E02001312,10334.519074651564,False
298,E02000987,E02000996,10564.56359236043,True
299,E02000987,E02001016,10661.81881635248,True
300,E02000987,E02000989,10752.99339067841,True
301,E02000987,E02001311,10836.170203810649,False
302,E02000987,E02001306,10850.648367947406,False
303,E02000987,E02001002,10983.254623614774,True
304,E02000987,E02001157,11029.3749568985,False
305,E02000987,E02001010,11101.865900179757,True
306,E02000987,E02001300,11120.920314701643,False
307,E02000987,E02001297,11171.66311651982,False
308,E02000987,E02001319,11390.788045976698,False
309,E02000987,E02001316,11419.610116804108,False
310,E02000987,E02001160,11524.125964271385,False
311,E02000987,E02001317,11799.680785763394,False
312,E02000987,E02001015,11810.202675168925,True
313,E02000987,E02001314,11983.046920249311,False
314,E02000987,E02001158,12133.43282469247,False
315,E02000987,E02001307,12276.934121016624,False
316,E02000987,E02001007,12528.496154834842,True
317,E02000987,E02001318,12639.668465231103,False
318,E02000987,E02001030,12714.310605392084,False
319,E02000987,E02001321,12946.814650785484,False
320,E02000987,E02001320,13053.788461152384,False
321,E02000987,E02001323,13055.082357210576,False
322,E02000987,E02001304,13399.748430103566,False
323,E02000987,E02001159,13445.182945242726,False
324,E02000987,E02001017,13798.324986401034,True
325,E02000987,E02001021,13798.534435516069,False
326,E02000987,E02001028,13914.399286097903,False
327,E02000987,E02001163,13941.464046412342,False
328,E02000987,E02001326,13951.90928926916,False
329,E02000987,E02001315,14134.504961435448,False
330,E02000988,E02000988,0.0,True
331,E02000988,E02000994,989.9034564701652,True
332,E02000988,E02000986,1191.6601724423124,True
333,E02000988,E02000993,1604.0747366324576,True
334,E02000988,E02000985,2214.1984117218813,True
335,E02000988,E02000998,2259.2017155053163,True
336,E02000988,E02000999,2270.854903284166,True
337,E02000988,E02000984,2626.845019452756,True
338,E02000988,E02001000,2873.0742165595907,True
339,E02000988,E02000991,3085.644458581737,True
340,E02000988,E02001001,3228.5085221378113,True
341,E02000988,E02001004,3339.797716551161,True
342,E02000988,E02000996,3340.346381621276,True
343,E02000988,E02000995,3406.4044288646296,True
344,E02000988,E02000989,3427.7375490457794,True
345,E02000988,E02001005,3838.2157098243742,True
346,E02000988,E02001006,4285.343572889821,True
347,E02000988,E02001003,4348.198312516587,True
348,E02000988,E02001002,4365.406274888854,True
349,E02000988,E02001008,4530.701819957331,True
350,E02000988,E02001012,5311.615536400135,True
351,E02000988,E02001030,5456.002468608072,False
352,E02000988,E02001010,5465.367037271486,True
353,E02000988,E02001007,6104.4650761916255,True
354,E02000988,E02001009,6192.208576316804,True
355,E02000988,E02000990,6204.3038669007665,True
356,E02000988,E02001016,6385.213443845562,True
357,E02000988,E02001028,6490.029917454702,False
358,E02000988,E02000997,6509.406218586679,True
359,E02000988,E02001015,6544.012173594056,True
360,E02000988,E02001013,6600.407375885555,True
361,E02000988,E02001021,6653.451642889359,False
362,E02000988,E02001024,6840.718164560247,False
363,E02000988,E02001011,6950.401329637236,True
364,E02000988,E02001020,7384.579621409359,False
365,E02000988,E02001157,7400.06224298472,False
366,E02000988,E02000987,7441.715046983502,True
367,E02000988,E02001032,7457.115514089512,False
368,E02000988,E02001034,7994.818007532555,False
369,E02000988,E02001027,8003.494201470156,False
370,E02000988,E02001158,8036.849526973529,False
371,E02000988,E02001017,8122.854828607759,True
372,E02000988,E02001023,8223.034759007318,False
373,E02000988,E02001036,8265.633941407856,False
374,E02000988,E02001160,8346.035909516015,False
375,E02000988,E02001014,8540.201787653392,True
376,E02000988,E02001019,8542.338212514669,False
377,E02000988,E02001159,8627.518633355405,False
378,E02000988,E02001303,8638.362819905145,False
379,E02000988,E02001033,8899.98021901055,False
380,E02000988,E02001311,9054.361164346716,False
